Month	Sex	Value
Jan-15	Females	6
Jan-15	Males	7.9
Feb-15	Females	5.9
Feb-15	Males	8.3
Mar-15	Females	6.2
Mar-15	Males	8.5
Apr-15	Females	6.1
Apr-15	Males	8.1
May-15	Females	6.3
May-15	Males	7.7
Jun-15	Females	6.1
Jun-15	Males	6.8
Jul-15	Females	6.9
Jul-15	Males	7.3
Aug-15	Females	8
Aug-15	Males	7.1
Sep-15	Females	6.3
Sep-15	Males	6.6
Oct-15	Females	6
Oct-15	Males	6.7
Nov-15	Females	6
Nov-15	Males	7
Dec-15	Females	5.6
Dec-15	Males	7.7
Jan-16	Females	6.2
Jan-16	Males	8.7
Feb-16	Females	6.2
Feb-16	Males	9.1
Mar-16	Females	6.2
Mar-16	Males	9
Apr-16	Females	6.2
Apr-16	Males	8.7
May-16	Females	6.3
May-16	Males	7.5
Jun-16	Females	5.8
Jun-16	Males	7
Jul-16	Females	6.9
Jul-16	Males	7.5
Aug-16	Females	7.8
Aug-16	Males	7.4
Sep-16	Females	6.1
Sep-16	Males	6.6
Oct-16	Females	5.8
Oct-16	Males	6.7
Nov-16	Females	5.7
Nov-16	Males	6.9
Dec-16	Females	5.7
Dec-16	Males	7.1
Jan-17	Females	6
Jan-17	Males	8.2
Feb-17	Females	5.9
Feb-17	Males	8
Mar-17	Females	6
Mar-17	Males	8.2
Apr-17	Females	5.7
Apr-17	Males	7.8
May-17	Females	5.9
May-17	Males	7.2
Jun-17	Females	5.8
Jun-17	Males	6.2
Jul-17	Females	6.6
Jul-17	Males	6.5
Aug-17	Females	7.3
Aug-17	Males	6.3
Sep-17	Females	5.6
Sep-17	Males	5.7
Oct-17	Females	5.5
Oct-17	Males	5.8
Nov-17	Females	5.1
Nov-17	Males	5.7
Dec-17	Females	4.8
Dec-17	Males	5.8
Jan-18	Females	5.4
Jan-18	Males	7
Feb-18	Females	5.3
Feb-18	Males	6.9
Mar-18	Females	5.4
Mar-18	Males	7.1
Apr-18	Females	5.1
Apr-18	Males	7
May-18	Females	5.7
May-18	Males	6.2
Jun-18	Females	5.6
Jun-18	Males	5.8
Jul-18	Females	6
Jul-18	Males	6
Aug-18	Females	7.4
Aug-18	Males	6
Sep-18	Females	5.5
Sep-18	Males	5.3
Oct-18	Females	5.1
Oct-18	Males	5.4
Nov-18	Females	4.8
Nov-18	Males	5.4
Dec-18	Females	4.7
Dec-18	Males	5.6
Jan-19	Females	5.2
Jan-19	Males	7
Feb-19	Females	5.2
Feb-19	Males	6.9
Mar-19	Females	5.4
Mar-19	Males	6.9
Apr-19	Females	5.1
Apr-19	Males	6.7
May-19	Females	4.9
May-19	Males	6
Jun-19	Females	4.9
Jun-19	Males	5.5
Jul-19	Females	6
Jul-19	Males	5.9
Aug-19	Females	6.8
Aug-19	Males	5.9
Sep-19	Females	5.1
Sep-19	Males	5
Oct-19	Females	4.8
Oct-19	Males	5.2
Nov-19	Females	5.1
Nov-19	Males	5.8
Dec-19	Females	4.6
Dec-19	Males	5.6
Jan-20	Females	5.2
Jan-20	Males	6.4
Feb-20	Females	5.1
Feb-20	Males	6.5
Mar-20	Females	8.6
Mar-20	Males	8.3
Apr-20	Females	12.9
Apr-20	Males	14
May-20	Females	14
May-20	Males	13.6
Jun-20	Females	12.6
Jun-20	Males	11.2
Jul-20	Females	11.6
Jul-20	Males	10.9
Aug-20	Females	11.9
Aug-20	Males	10.2
Sep-20	Females	8.4
Sep-20	Males	8.4
Oct-20	Females	8
Oct-20	Males	8.3
Nov-20	Females	7.6
Nov-20	Males	8.3
